"session","created","modified","ended","expired","code","pid_nr","class_start","ref_norm","refnorm_open_t1","random_refnorm_sentence_t1_class1","random_refnorm_sentence_t1_class2","refnorm_rank_t1","refnorm_open_t2","random_refnorm_sentence_t2_class1","random_refnorm_sentence_t2_class2","refnorm_rank_t2","student1","student2","student3","student4","student5","student6","student7","student8","student9","inf_cons","age","gender","exp","subjects","subject_deutsch"
"clearQuokkaXXXGKsawRRqgL5aFS9eAJOcRjbllvS99sJBU4udslpvkAfGdqVfn0","2022-04-12 11:18:18","2022-04-12 11:28:10","","","","7","2","c","","","","","","","","","","","","","","","","","","","","","","",""
"MqE6oiokqs5RwognVQCX9pSamcjjKoyuLG8UKcJ4GIn1-UEPwn2WGGD30FzPLWsj","2022-04-12 11:42:43","2022-04-12 11:43:50","2022-04-12 11:43:50","","","8","2","i","test","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","1","test","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","1","minus5","minus5","minus5","minus5","minus5","minus4","minus5","minus5","minus5","1","1","1","1","1","1"
"87m0L79CzynsA-rzI-nFNJVegZ_o4bit834qDzGPDvdBHVbq2zVlTyOfRllTI6X6","2022-04-12 14:22:12","2022-04-12 14:23:38","2022-04-12 14:23:38","","","9","2","i","test 1","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","1","test2","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","1","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","1","1","1","1","1, 4","1"
"h6lLuzjM-8EMF0bCTrX591iB3VZ72jepFobKSmt587yE0A2y76B0D7QvVSI_PQbK","2022-04-12 14:28:19","2022-04-12 14:29:05","2022-04-12 14:29:05","","278","10","1","c","test3","Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","1","test3","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","1","plus5","plus5","plus5","plus5","plus5","plus5","plus4","plus5","plus5","2","","","","",""
"ZwPVk9o6ukaDLumy2XKWxzHoV9F2XYhQBb1OGmkQ0BxiXf6-w1C4HMH3cHuNR6JO","2022-04-13 06:24:10","","","","228","12","1","s","","","","","","","","","","","","","","","","","","","","","","",""
"jPDA1Xazn125hqycsE-lnF7CXPaeVe5mdiapDUM3gUpN_dafDIvp-WqK67hfHkNc","2022-04-13 06:24:11","2022-04-13 06:29:05","2022-04-13 06:29:05","","228","12","1","c","aSCasc","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","2","aSCAcasCC sd ","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","1","minus3","plus2","plus3","plus2","plus3","null","plus2","plus2","plus1","1","1","1","1","1, 3, 4","1"
"jmML3lpbEc6MYpv4wTmaug9g6hv-zHzpD3XDza7LEH-TEWgvbtcr31QXLaZ0Mtll","2022-04-13 14:01:57","2022-04-13 14:06:19","2022-04-13 14:06:19","","","13","1","i","test
","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","1","test","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","1","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","minus5","1","1","1","1","1","2"
"G0pGue_e7KNxC1ImZ5oOP6eKPw0Drm_pV59v4BXGnOObQ8WFpNRoIpjKPmjOEr0e","2022-04-15 22:02:46","","","","","14","2","s","","","","","","","","","","","","","","","","","","","","","","",""
"fcZeX5gh5tqNHRjDvBs5z5D4WaUBi35yULl9YnwGymcVYHbcoqlJCn572gBzxXYq","2022-04-20 08:45:23","","","","","15","1","s","","","","","","","","","","","","","","","","","","","","","","",""
"-LgjiHLOgMvJOk2qVg6invhKv2u95EORBzJaXoYDej_bsnqHWzfQRa4gE2p0bp_A","2022-04-21 07:08:38","","","","","16","1","s","","","","","","","","","","","","","","","","","","","","","","",""
"a-A5y_jrh7f7rtQI6JMD54IUFja7SNaOf2jETQgBA_6W5DdC3DIl49PduVTxeLX-","2022-04-21 10:56:28","","","","","17","1","c","","","","","","","","","","","","","","","","","","","","","","",""
"n9YkFL13uSvIvY0RknCZMaIcFYJtbhHvL6DAvi60BUDpq5IfRdIPglueqJ58b7ei","2022-04-23 16:03:27","","","","","18","1","i","","","","","","","","","","","","","","","","","","","","","","",""
"LFOdap0gdhUNMiMtMlstb5CLpZtnSglLDyWMJj58aALIgFyKiGMTe5l2NhNNSRX1","2022-04-26 00:45:49","","","","","19","2","c","","","","","","","","","","","","","","","","","","","","","","",""
"R3YNzG5uf4B9H9zyd_13HGPxVHvVQumSEjT5jTL08FzexqA9XonmjVVDB116-ppm","2022-04-26 02:50:43","","","","","20","2","c","","","","","","","","","","","","","","","","","","","","","","",""
"B0PH4nqosO5CuCyaUhXRnVR4whYQW98AldM473_wb2N6JgRrZ33Dgcwzl05nf7Ry","2022-04-26 09:54:59","","","","377","21","2","s","","","","","","","","","","","","","","","","","","","","","","",""
"gR13o5qxNoXBakomDZnBsXoz8mqNrGtVlEDYzukeOFXRw_HcvzZ6OpJj5kFC4fa1","2022-04-26 10:10:53","","","","314","22","2","i","","","","","","","","","","","","","","","","","","","","","","",""
"nF6Xlk3j5TwLSvU5KztgpKQ1tJ73bAlvBV74lQbjHkHRCnDETEwZFA6Row8gGaE_","2022-04-26 11:13:29","2022-04-26 11:25:49","2022-04-26 11:25:49","","338","23","2","c","Mehrere SuS sind nach 8 Wochen auf dem gleichen Stand, die Streuung der Leistungen ist nicht mehr so stark wie nach den 4 Wochen. 
Kein SuS ist unter den 200 Punkten. Jedoch sind auch keine SuS nach 8 Wochen bei mehr als 900 Punkten wie es noch zuvor war.  ","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","2","Alle SuS haben sich verbessert nach 8 Wochen. 
Manche haben sich verbessert und dann wieder verschlechtert. 
Der Grundanspruch Ende Klasse 9 wird von den meisten erreicht.","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","1","minus2","null","minus2","null","plus2","plus2","plus2","null","minus2","2","","","","",""
"YC-r2cXAnVALSFoHs2lgVrx44bND6yJRLvwu954CpSOPQkrqCkxxztDkKKxtA0Uu","2022-04-26 11:23:31","2022-05-01 21:35:01","","","412","24","1","s","","","","","","","","","","","","","","","","","","","","","","",""
"875owO2suJxqdk9iQKPWI_WnGypXfwM0oruCpIleVQbOJXkjVM3UygMbDCZsoMPz","2022-04-26 11:28:37","2022-04-26 11:43:40","2022-04-26 11:43:40","","291","25","1","i","Ihre SchülerInnen befinden sich immer über Stufe 5 und nur in Woche 4 befindet sich ein Schüler unter dem Grundanspruch am Ende der 6. Klasse. 
Zusätzlich befinden sich nur wenige SchülerInnen unter dem Grundanspruch am Ende der Klasse 9. Da es sich um eine achte Klasse handelt, lässt sich insgesamt sagen, dass Frau Maiers Klasse auf einem guten Weg ist. 
Da es sich nur um wenige schwache Schüler handelt, könnte man auf diese individuell eingehen bzw. diese bestimmten Inhaltsstoff explizit wiederholen lassen. ","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","3","Oftmals hat sich die Leistung von Woche 6 zu 8 verschlechtert. Es gibt einzelne Schüler, die sehr deutlich unter dem vorgegebenen Niveau liegen. Insgesamt befinden sich einige Schüler unter dem Niveau für das Ende der 9. Klasse. Frau Knolls Klasse hat Nachholbedarf. ","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","1","null","minus3","plus3","null","plus3","minus3","null","plus3","minus3","1","2","2","1","1, 3","1"
"Nmb9ZOyXrXetaCOxog1vISZ08xVRRHRlpN0xuKNijdk5bseIM2iPDMFULIe06rWO","2022-04-26 13:42:49","2022-04-26 14:04:46","2022-04-26 14:04:46","","377","26","2","s","Je mehr die SuS über die Wochen lernen, desto näher rückt das Niveau der Leistungen der SuS zusammen. Die Mehrzahl befindet sich dann zwischen den Stufen 6 und 8. Ich vermute, dass sie SuS die in den Wochen 4 und 6 überdurchschnittlich abgeschnitten haben mit dem fortlaufenden Stoff, der immer komplexer wird, etwas mehr Schwierigkeiten bekommen. Die SuS die von Anfang an mehr Probleme hatten, werden über die Wochen, Übungen und Tests immer sicherer und lernen aus ihren Fehlern. Dementsprechend kann man sehen, das am Ende von Woche 8 im Schnitt die SuS besser sind.","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","2","Im Vergleich zur Parallelklasse besteht diese Klasse aus mehr SuS.
Meiner Meinung nach kann man sehen, dass die Leistungsniveaus der SuS bei jedem Test relativ gleichmäßig verteilt sind. ","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","1","plus2","minus1","plus3","null","plus4","minus2","plus1","plus4","minus3","1","2","1","1","1, 2","1"
"KGvAbW0bEgOFytwTjq5nIbXxcSlu0IyH9Q7L3q1BJj-0I3WYtZjplkKNeRhYyNxN","2022-04-26 16:19:22","","","","306","27","2","c","","","","","","","","","","","","","","","","","","","","","","",""
"_TgygAL4WdavZT-ttVe6nUYwqBZmjtDdDNDHjkQWUvfrNc1I4IBTBNO3cnCz8Qqd","2022-04-26 16:58:59","2022-04-26 17:22:49","2022-04-26 17:22:49","","337","28","1","s","Die zentralen Informationen sind die, das sich die Ergebnisse zunächst über 2 Wochen verbessern, nach weiteren 2 Wochen jedoch wieder weiter auf fächern und es wieder einige schlechtere Ergebnisse gibt.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","3","Die meisten SuS liegen innerhalb der 90% der Vergleichsgruppe. Viele auch noch innerhalb der 50% und nur vereinzelte SuS schneiden schlechter als die Vergleichsgruppe ab.","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","3","plus1","minus3","plus2","null","plus2","minus1","plus1","plus2","minus2","1","3","2","2","2, 3",""
"qUdTLMcNinUESgTaZ_tny70zU1EgtzQelOFD-0D4LEHy-1yBDE1vynmTnc93CkSK","2022-04-26 17:38:20","2022-04-26 17:44:10","","","310","29","2","i","","","","","","","","","","","","","","","","","","","","","","",""
"bDiKGXf6VEMA9lMciXbYvqQ0Wc-BBQCJx9XyOAf68-H6XMOV6xHGkLwbwVyN_8jU","2022-04-26 20:39:11","2022-04-26 20:54:22","2022-04-26 20:54:22","","349","30","2","c","Die meisten Schüler dieser Kohorte befinden sich auf Stufe 5 bis 9, und erfüllen damit die Anforderungen an eine Klasse 6 und sind entweder nicht weit entfernt oder liegen schon im Bereich der Anforderungen an eine Klasse 9.","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","3","Die große Mehrheit der Schüler*innen befinden sich weit über dem Grundanspruch für eine Klasse 9.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","2","null","minus3","plus1","null","plus3","minus1","plus1","plus2","minus4","1","3","2","1","1, 4","2"
"zVcxZzdk2-648txfcJe-3BGUltdQOOxmzjCwaYnTLI9iygbeE-b990INYBPHHHKq","2022-04-26 22:02:08","2022-04-26 23:29:30","2022-04-26 23:29:30","","412","31","1","i","Einige SuS scheinen ""schlechter"" geworden zu sein mit der Zeit von W6 zu W8. Diese Klasse scheint besser abgeschnitten zu haben als die Vergleichsgruppe, beziehend auf die mittleren 50%.","Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","","2","Manche SuS scheinen nicht an allen 3 Prüfungen teilgenommen zu haben, was die Daten schwerer vergleichbar macht. Während einige SuS sich verbessert haben, haben sich andere verschlechtert. ","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","1","null","minus4","plus2","null","plus2","minus4","null","plus2","minus4","1","3","2","1","4",""
"e0TOd8wBhXSCT-m3ExdKnW0gkpqbtIqEZAAtaW1A7uFlY3lzCNDuFTZC_wy07pB5","2022-04-27 10:24:25","2022-04-27 10:39:44","2022-04-27 10:39:44","","284","32","2","s","Die allgemeine Tendenz zeigt, dass die Bandbreite der Leistungen der SuS sich verkleinert im Laufe der Wochen. Die Leistungen liegen näher beieinander. 
Außerdem fallen einige SuS im Lauf der Zeit ab, da in Woche 8 keine Punkte mehr über der 900-Grenze existieren. Die mittlere Messung stellt die größte Bandbreite dar.","","Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","1","Die SuS schneiden relativ gut ab, da die meisten sich oberhalb der 700-Punkte Grenze befinden. Viele erreichen mindestens Stufe 7/8. einige verbessern sich und die Obergrenze bleibt bestehen. Von Woche 6 auf 8 findet eher eine Verschlechterung statt.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.","","3","plus2","minus2","plus3","plus1","plus3","plus1","plus2","plus4","minus1","1","1","1","2","1, 2","1"
"94plcfww9ak5Fl5jjTrWjpPhFsGDBFxfbMKjZRMV1FgBJ1-O5clY9omsRsalKx8f","2022-04-27 10:45:20","2022-05-02 14:09:22","2022-05-02 14:09:22","","302","33","1","c","Frau Maier hat den Text nach 4, 6 und 8 Wochen durchgeführt und die Schüler wurden von Woche 4 zu 6 besser und in Woche 8 dann wieder ein bisschen schwächer.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","2","Hier kann man gut erkennen, dass die meisten Schüler_innen schon über dem Grundanspruch Klasse 9 sind. Ein paar sind zwischen dem Grundanspruch Klasse 6 und 9 und die wenigsten sind noch nicht einmal bei Klasse 6","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.","3","plus2","minus3","plus4","plus1","plus3","minus4","null","plus3","minus2","1","1","1","2","2, 3",""
"OBlxL8V53iPKp58MuBCqbHjqvDuEDyfDLMJHO4beGJKH9EDt-wLJq3rcMvmSSmTf","2022-04-27 11:01:02","2022-04-27 11:10:16","2022-04-27 11:10:16","","347","34","2","s","Man kann ablesen welche Erfolge zu welcher Zeit zu bestimmen sind. Das Ziel kann vermutlich sein eine genauere Einschätzung des Inhalten zum machen, zur Besseren nachvollziehung und Vorbereitung des Lehrers.","","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.","3","Klasse schneidet sogar besser als Vergleichsgruppe ab. Einzelnen Schülern muss noch nachgeholfen werden.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","2","minus2","minus1","minus1","null","plus4","null","plus1","plus4","minus3","1","2","1","1","2",""
"zWMNiRHHNfcujJORHIeQ86k3AZEEGr6DgSO-LNJzDUlrR8LK-aW5LirxMCmruxaH","2022-04-27 13:31:40","2022-05-03 19:29:51","2022-05-03 19:29:51","","382","35","1","i","Alle der SchülerInnen können die verschiedenen Satzarten erkennen und bestimmen. Die SuS haben ebenfalls keine Probleme bei der Bestimmung von Nomen, Verben und Adjektiven und können diese grammatikalisch korrekt konjugieren. Im weiteren haben die meisten SuS keine Probleme bei der Wortzerlegung, da sie den Wortstamm erkennen können und finden sich in den Zeitformen zurecht. Im Test zeigt sich, dass viele der SuS eine Verbesserung durchleben, vor allem von Woche 4 zu Woche 6.","Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.-Die meisten Schüler_innen erreichen die Kompetenzstufe 8 und höher bzw. liegen über dem Grundanspruch für das Ende der 9. Klasse.-Die Schüler_innen schneiden besser als die Vergleichsgruppe ab.","","2","Manche SuS verschlechtern sich und manche SchülerInnen verbessern sich deutlich. Das kann sich allerdings auch wieder ab Woche 6-8 ändern oder bleibt gleich ","","Die meisten Schüler_innen erreichen die Kompetenzstufe 6 und höher bzw. liegen über dem Grundanspruch für das Ende der 6. Klasse.-Die Schüler_innen schneiden schlechter als die Vergleichsgruppe ab.-Manche Schüler_innen haben sich verbessert, andere haben sich verschlechtert.","3","minus1","null","null","null","plus3","plus1","plus2","plus2","minus1","1","2","1","2","1, 3","1"
